name,salary,sprocket_player_id,member_id,discord_id,skill_group,franchise,Franchise Staff Position,slot,current_scrim_points,Eligible Through
Jayyy,16.5,4860,4919,897505812673626112,Master League,Pend,NA,NONE,0,Not Eligible
Lightning,16.0,307,312,372253960007974912,Champion League,Sharks,NA,PLAYERA,0,Not Eligible
Adro,17.0,5629,5688,1121595282099015700,Master League,FP,NA,NONE,0,Not Eligible
Gratzki,11.0,4676,4735,679360262410862633,Academy League,FP,NA,NONE,0,Not Eligible
Hazy,12.5,4243,4301,590306785139753202,Academy League,Pend,NA,NONE,0,Not Eligible
Zybax,10.5,652,659,290856261627412480,Academy League,FP,NA,NONE,0,Not Eligible
goldentornado17,18.5,186,190,293584173304774656,Premier League,FP,NA,NONE,0,Not Eligible
The Real BIG MAC,15.5,3792,3851,542221808149987329,Master League,FP,NA,NONE,0,Not Eligible
cali,18.0,84,85,325143929693667329,Premier League,FP,NA,PLAYERE,0,Not Eligible
bluzey,13.0,5257,5315,542745888209109012,Champion League,FP,NA,NONE,0,Not Eligible
Literi,7.0,3668,3727,265421220562993152,Foundation League,Pend,NA,NONE,0,Not Eligible
Slinger,13.0,3443,3502,327561126562889739,Academy League,FP,NA,NONE,0,Not Eligible
alexnderxv,14.0,5437,5496,453047684207476754,Champion League,FP,NA,NONE,0,Not Eligible
Matt Sack,17.0,5177,5235,596198893331415061,Master League,FP,NA,NONE,0,Not Eligible
